a | zu, an, bei
a- (Vorsilbe) | so … machen
ab- (Vorsilbe) | ab-, fort-
abandonar | verlassen
abassar | senken
abate | Abt
abatessa | Äbtissin
abatia | Abtei
abatter | fällen, niederschlagen, niederwerfen
Abissinia | Abessinien
abissinian | abessinisch
acrocar | anhängen (an Haken), aufhängen
abellar | verschönern
abdicar | abdanken
abdication | Abdankung
abdomine | Unterleib
abiete | Tanne
abiss | Abgrund, Kluft
abiturient | Abiturient
abject | verworfen
abnegar | verleugnen, entsagen
abnegation | Leugnen, Entsagen
abolir | abschaffen
abolition | Abschaffung
abominabil | scheußlich
abominar | verabscheuen
abomination | Abscheu
abonnament | Abonnement
abonnar | abonnieren
abonnator | Abonnent
abordar | an Bord gehen
aborte | Abtreibung, Schwangerschaftsabbruch
aborter | abtreiben
abortion | Abtreibung, Schwangerschaftsabbruch
aboyar | bellen
abreviar | abkürzen
abreviation | Abkürzung
abricot | Aprikose
abrogar | aufheben
abrogation | Aufhebung
abrupt | schroff, abschüssig, abrupt
abscess | Geschwür
absent | abwesend
absentar se | sich absentieren
absentie | Abwesenheit
absoluer | freisprechen, (rel.) die Absolution erteilen
absorpter | aufsaugen
abstener se | sich enthalten
abstenentie | Enthaltung, Abstinenz
abstraer | abziehen, absehen von
abstra(c)t | abstrakt
absurd | absurd, widersinnig, albern
absurditá | Absurdität, Widersinn
abundant | überflüssig
abundantie | Überfluss
abundar | im Überfluss vorhanden sein
abuser | täuschen, hintergehen
acacie | Akazie
academico | Akademiker
academie | Akademie
acaparar | ankaufen, hamstern, zusammentragen
acceder | hinzutreten, gelangen zu
accelerar | beschleunigen
acceleration | Beschleunigung
accelerator | Beschleuniger
accender | anzünden
accendette | Feuerzeug
accentu | Betonung, Akzent
accentuar | betonen
accentuation | Akzentuierung
acceptabil | annehmbar, akzeptabel
acceptar | annehmen, akzeptieren
acceptation | Akzeptanz, Annahme
accessori | zugehörig
accessorie | Zubehör
accidental | zufällig, unwesentlich
accidente | Unfall
accidente | Unfall
accider | zustoßen, geschehen
acerb | herb
acere | Ahorn
acete | Essig
acid | sauer
acide | Säure
aciecar | erblinden
aclamar | anfeuern, zujubeln
aclamation | Anfeuerung, Zujubeln
aclarar | aufklären, beleuchten
aclimatisar | akklimatisieren
adcluder | anschließen
acomodar | anpassen
acompaniament | Begleitung
acompaniar | begleiten
acompleer | vollenden
acomplement | Vollendung
aconossement | Anerkennung
aconosser | anerkennen
acord | Übereinstimmung, Einigung
acordar | übereinstimmen
acordeon | Akkordeon
acordeonist | Akkordeonspieler
acri | ätzend, beißend, scharf
acrobate | Akrobat
acrobatic | akrobatisch
acrocar | einhaken
actas | Akten
acte | Akt, Handlung
acter | handeln
action | Handlung
actionario | Aktionär
activ | aktiv
activar | aktivieren
activitá | Aktivität
actor | Schauspieler
actoressa | Schauspielerin
actual | gegenwärtig, aktuell
actualitá | Aktualität
acuchament | Wochenbett
acuchera | Hebamme
acumular | speichern, anhäufen
acumulation | Anhäufung
acuplar | verkuppeln, Paare bilden
acurat | pünktlich, genau
acuratesse | Pünktlichkeit, Genauigkeit
acurtar | verkürzen, kürzen
acusar | anklagen
acusar | anklagen, beschuldigen
acusation | Anklage, Beschuldigung
acusativ | Akkusativ
acusato | Angeklagter
acusator | Ankläger
acustic | akustisch
acustica | Akustik
acustomar | gewöhnen
acustomat | gewöhnt
acut | spitz
ad supra | nach oben
ad u | wohin
ad-avan | vorwärts
adamant | unnachgiebig
adaptar | anpassen
adaptation | Anpassung, Adaption
adcurrer | herbeieilen
addendum | Zusatz, Nachsatz
addir | hinzufügen, zusammenzählen, addieren
addition | Addition, Hinzufügen
adepte | Anhänger, Eingeweihter
adequat | entsprechend, angemessen, adäquat
adherer | anhängen, beitreten, sich anschließen
adhesion | Beitritt
adío | tschüss, Lebewohl
adivinar | erraten
adjacent | angrenzend
adjective | Adjektiv
adjudicar | aberkennen
adjurar | beschwören
adjustar | ausrichten
adjutante | Adjutant
admaxim | höchstens
adminim | wenigstens
administrar | verwalten
administration | Verwaltung
administrator | Verwalter
admirabil | bewundernswert
admirale | Admiral
admirar | bewundern
admiration | Bewunderung
admirator | Bewunderer
admisser | zulassen, zugeben
admonir | ermahnen, mahnen
adolescente | Jüngling, Teenager
adolescer | heranwachsen
adopter | adoptieren, annehmen
adoption | Adoption
adorabil | bewundernswert
adorar | bewundern
adoration | Bewunderung
adorator | Bewunderer
adparlar | anreden
adplu | außerdem, zudem
adressar li parol a | anreden, das Wort richten an
adressarium | Adressenverzeichnis
adressate | Adressat, Empfänger
adresse | Adresse
adular | lobhudeln, verherrlichen
adult | erwachsen
adulte | Erwachsener
adulterar | Ehebruch begehen
adultérie | Ehebruch
advente | Advent
adverbie | Adverb
advere | zwar, freilich, allerdings
adversario | Gegner
adversi | widrig
advertir | benachrichtigen, warnen
aere | Luft
aer-companie | Luftfahrtgesellschaft
aer-linea | Fluglinie
aerar | lüften
aeronave | Luftschiff
aeroplan | Flugzeug
aeroportu | Flugplatz
afabil | freundlich
afamat | hungrig
afamar | aushungern
afectar | beführen, bewegen, zur Schau stellen
afecte | Erregung
afection | Zuneigung
afere | Angelegenheit, Sache
afere(s) | Geschäft(e)
afgan | afghanisch
Afghanistan | Afghanistan
afiche | Plakat, Anzeige
afini | verwandet, nahestehend
afinitá | Nähe, Affinität
afirmar | bejahen, bekräftigen, behaupten
afirmation | Bejahung, Bekräftigung, Behauptung
afixe | Ableitungssilbe, Affix
aflicter | betrüben
afliuentie | Andrang, Einfließen
aforestar | aufforsten
afrancar | frankieren, freimachen
Africa | Afrika
african | afrikanisch
afrigidar | abkühlen, erfrischen
afrontar | trotzen,entgegentreten, die Stirn bieten
afuste | Lafette
agende | Agenda
agentie | Agentur
agentie de turisme | Reisebüro
agentura | Agentur
agil | flink, agil
agitar | aufreizen, agitieren, lebhaft bewegen
agitation | Agitation
agitator | Agitator
agne | Schaf
agnello | Lamm
